,Цена квартиры,Тип квартиры,Станция метро,Минут до метро,Регион,Кол-во комнат,Площадь,Жилая площадь,Площадь кухни,Этаж,Ремонт
9455,16400000.0,Вторичноё жильё,Депо,18.0,Москва,3.0,74.2,45.3,10.0,6.0,Косметический
9454,18500000.0,Вторичноё жильё,Сходненская,25.0,Москва,3.0,64.5,34.7,7.5,12.0,Европейский стиль
18632,11130000.0,Новостройка,Битца,12.0,Московская область,3.0,79.3,42.2,13.2,2.0,Косметический
18650,20990000.0,Новостройка,Битца,12.0,Московская область,3.0,202.5,104.5,23.4,14.0,Европейский стиль
9451,19950000.0,Вторичноё жильё,Марьина Роща,12.0,Москва,3.0,58.2,40.9,5.6,1.0,Косметический
9450,20900000.0,Вторичноё жильё,Новоясеневская,13.0,Москва,3.0,75.0,46.2,10.2,8.0,Европейский стиль
9449,40000000.0,Вторичноё жильё,Фили,26.0,Москва,3.0,91.7,48.5,14.2,23.0,Без ремонта
9448,35500000.0,Вторичноё жильё,Сокол,6.0,Москва,3.0,80.4,51.7,8.8,4.0,Европейский стиль
9447,48000000.0,Вторичноё жильё,Молодежная,7.0,Москва,3.0,96.0,70.0,14.6,2.0,Без ремонта
9446,22000000.0,Вторичноё жильё,Бунинская Аллея,14.0,Москва,3.0,78.5,48.6,10.5,7.0,Косметический
9445,45000000.0,Вторичноё жильё,Народное Ополчение,24.0,Москва,3.0,111.4,67.6,11.5,41.0,Без ремонта
9444,16500000.0,Вторичноё жильё,Савеловская,13.0,Москва,3.0,55.2,42.4,6.0,2.0,Косметический
9443,47000000.0,Вторичноё жильё,Щукинская,12.0,Москва,3.0,122.0,89.0,20.0,26.0,Европейский стиль
9442,50000000.0,Вторичноё жильё,Динамо,10.0,Москва,3.0,86.0,46.0,17.0,8.0,Европейский стиль
9441,49000000.0,Вторичноё жильё,Измайловская,11.0,Москва,3.0,98.2,58.0,15.0,17.0,Дизайнерский
19818,7591299.0,Новостройка,Бутово,6.0,Московская область,3.0,66.82,35.9,12.2,8.0,Косметический
9467,53000000.0,Вторичноё жильё,Пушкинская,7.0,Москва,3.0,93.8,70.0,20.0,4.0,Европейский стиль
9466,27000000.0,Вторичноё жильё,Таганская,11.0,Москва,3.0,76.0,40.6,12.9,7.0,Европейский стиль
9465,18700000.0,Вторичноё жильё,Говорово,18.0,Москва,3.0,72.0,47.0,10.0,9.0,Косметический
9464,78700000.0,Вторичноё жильё,Ломоносовский проспект,18.0,Москва,3.0,144.0,72.5,23.0,24.0,Европейский стиль
9463,24990000.0,Вторичноё жильё,Преображенская площадь,8.0,Москва,3.0,77.6,52.0,9.6,8.0,Без ремонта
9462,41980000.0,Вторичноё жильё,Хорошево,23.0,Москва,3.0,81.0,34.8,12.9,23.0,Без ремонта
